,filename,label,answer
0,5_5_nicolas_41.wav,5,<s>The audio is of a male voice saying the word 'Five'. The voice is clear and crisp. The audio is in mono. There are no other sounds in the background. The audio is of good quality. The audio can be used in a movie or a video game. The audio can also be used in a tutorial video. The audio can also be used in a podcast. The audio can also be used in a radio show. The audio can also be used in a voice-over. The audio can also be used in a movie trailer. The audio can also be used in an advertisement. The audio can also be used in a video. The audio can also be used in a video game. The audio can also be used in a tutorial video. The audio can also be used in a podcast. The audio can also be used in a radio show. The audio can also be used in a movie trailer. The audio can also be used in
1,5_5_nicolas_41.wav,5,<s> Someone saying 'fine' in a monotone voice.</s>
2,5_5_nicolas_41.wav,5,"<s> Yes, I can hear the word ""five"" on the audio.</s>"
3,5_5_nicolas_41.wav,5,"<s> Yes, there is a word ""five"" on the audio.</s>"
4,5_5_nicolas_41.wav,5,"<s> No, the audio does not sound like the word ""five"".</s>"
5,5_5_nicolas_41.wav,5,"<s> Yes, the word ""five"" can be identified from the audio.</s>"
6,6_6_jackson_14.wav,6,"<s>The audio features a male voice saying the word 'sex'. The voice is clear and crisp, and the audio is of good quality. The audio could be used in a variety of contexts, such as in a pornographic film, a sex education video, or a sex toy advertisement. The audio could also be used as a sound effect in a video game or a pornographic video game. The audio could also be used as a ringtone or as background music in a pornographic video. The audio could also be used as a sound effect in a video game or a pornographic video game. The audio could also be used as a ringtone or as background music in a pornographic video. The audio could also be used as a sound effect in a video game or a pornographic video game. The audio could also be used as a ringtone or as background music in a pornographic video. The audio could also be"
7,6_6_jackson_14.wav,6,<s> Someone pronouncing the word 'sex'.</s>
8,6_6_jackson_14.wav,6,"<s> Yes, I can hear the word 'six' on the audio.</s>"
9,6_6_jackson_14.wav,6,"<s> Yes, there is a word 'six' on the audio.</s>"
10,6_6_jackson_14.wav,6,"<s> No, the audio does not sound like the word 'six'.</s>"
11,6_6_jackson_14.wav,6,"<s> Yes, the word ""six"" can be identified from the audio.</s>"
