,filename,label,answer
0,1_1_1-39923-A-1.wav,1,<s>The audio features a rooster crowing. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is a characteristic of the audio. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality
1,1_1_1-39923-A-1.wav,1,<s> A rooster crowing.</s>
2,1_1_1-39923-A-1.wav,1,"<s> Yes, you can hear the rooster crowing on the audio.</s>"
3,1_1_1-39923-A-1.wav,1,"<s> Yes, there is a rooster on the audio.</s>"
4,1_1_1-39923-A-1.wav,1,"<s> Yes, the audio sounds like a rooster.</s>"
5,1_1_1-39923-A-1.wav,1,"<s> Yes, I can identify the rooster from the audio.</s>"
6,8_8_4-250864-A-8.wav,8,<s> The characteristic of the audio is that it is a recording of a group of sheep bleating.</s>
7,8_8_4-250864-A-8.wav,8,<s> Sheep bleating.</s>
8,8_8_4-250864-A-8.wav,8,"<s> Yes, I can hear the sheep bleating on the audio.</s>"
9,8_8_4-250864-A-8.wav,8,"<s> Yes, there is a sheep on the audio.</s>"
10,8_8_4-250864-A-8.wav,8,"<s> Yes, the audio sounds like a sheep.</s>"
11,8_8_4-250864-A-8.wav,8,"<s> Yes, I can identify the sheep from the audio.</s>"
12,1_1_4-164064-C-1.wav,1,<s> The characteristic of the audio is that it is a rooster crowing.</s>
13,1_1_4-164064-C-1.wav,1,<s> A rooster crowing.</s>
14,1_1_4-164064-C-1.wav,1,"<s> Yes, you can hear the rooster crowing on the audio.</s>"
15,1_1_4-164064-C-1.wav,1,"<s> Yes, there is a rooster on the audio.</s>"
16,1_1_4-164064-C-1.wav,1,"<s> Yes, the audio sounds like a rooster.</s>"
17,1_1_4-164064-C-1.wav,1,"<s> Yes, I can identify the rooster from the audio.</s>"
18,4_5_2-69131-A-5.wav,4,<s> The characteristic of the audio is a cat meowing.</s>
19,4_5_2-69131-A-5.wav,4,<s> A cat meowing.</s>
20,4_5_2-69131-A-5.wav,4,"<s> Yes, you can hear the frog on the audio.</s>"
21,4_5_2-69131-A-5.wav,4,"<s> Yes, there is a frog on the audio.</s>"
22,4_5_2-69131-A-5.wav,4,"<s> Yes, the audio sounds like a frog.</s>"
23,4_5_2-69131-A-5.wav,4,"<s> Yes, the frog in the audio is a bullfrog.</s>"
24,6_6_1-71030-A-6.wav,6,<s> The characteristic of the audio is a rooster crowing.</s>
25,6_6_1-71030-A-6.wav,6,<s> Roosters crowing and chickens clucking.</s>
26,6_6_1-71030-A-6.wav,6,"<s> Yes, you can hear the hen clucking on the audio.</s>"
27,6_6_1-71030-A-6.wav,6,"<s> Yes, there is a hen on the audio.</s>"
28,6_6_1-71030-A-6.wav,6,"<s> Yes, the audio sounds like a hen.</s>"
