,filename,label,answer
0,1_1_1-39923-A-1.wav,1,<s>The audio features a rooster crowing. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is a characteristic of the audio. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality. The rooster's crowing is loud and clear. The audio is of high quality
1,1_1_1-39923-A-1.wav,1,<s> A rooster crowing.</s>
2,1_1_1-39923-A-1.wav,1,"<s> Yes, you can hear a rooster crowing on the audio.</s>"
3,1_1_1-39923-A-1.wav,1,"<s> Yes, there is a sound of rooster on the audio.</s>"
4,1_1_1-39923-A-1.wav,1,"<s> No, the audio does not include a rooster.</s>"
5,1_1_1-39923-A-1.wav,1,"<s> Yes, the noise is from a rooster.</s>"
6,0_0_1-30344-A-0.wav,0,<s> The characteristic of the audio is a dog barking.</s>
7,0_0_1-30344-A-0.wav,0,<s> A dog barking.</s>
8,0_0_1-30344-A-0.wav,0,"<s> Yes, you can hear a dog barking on the audio.</s>"
9,0_0_1-30344-A-0.wav,0,"<s> Yes, there is a sound of dog on the audio.</s>"
10,0_0_1-30344-A-0.wav,0,"<s> No, the audio does not include a dog.</s>"
11,0_0_1-30344-A-0.wav,0,"<s> Yes, the noise is from a dog.</s>"
12,7_7_2-81970-A-7.wav,7,<s> The characteristic of the audio is a buzzing bee sound.</s>
13,7_7_2-81970-A-7.wav,7,<s> A fly buzzing.</s>
14,7_7_2-81970-A-7.wav,7,"<s> Yes, you can hear insects buzzing on the audio.</s>"
15,7_7_2-81970-A-7.wav,7,"<s> Yes, there is a sound of insects on the audio.</s>"
16,7_7_2-81970-A-7.wav,7,"<s> No, the audio does not include insects.</s>"
17,7_7_2-81970-A-7.wav,7,"<s> Yes, the noise is from insects.</s>"
18,9_3_2-103423-A-3.wav,9,<s>The characteristic of the audio is that it is a mooing sound of a cow. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous. The mooing sound of the cow is loud and continuous.
19,9_3_2-103423-A-3.wav,9,<s> A cow mooing.</s>
20,9_3_2-103423-A-3.wav,9,"<s> Yes, you can hear a crow on the audio.</s>"
21,9_3_2-103423-A-3.wav,9,"<s> Yes, there is a sound of crow on the audio.</s>"
22,9_3_2-103423-A-3.wav,9,"<s> Yes, the audio includes a crow.</s>"
23,9_3_2-103423-A-3.wav,9,"<s> Yes, the noise is from a crow.</s>"
